Algorithm,Accuracy,Precision,Recall,F1,ROC_AUC,Features,Runtime
Baseline (SVM),0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9950396825396826,30,0.13610243797302246
Baseline (Random Forest),0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9932208994708995,30,1.014221429824829
