Algorithm,Accuracy,Precision,Recall,F1,ROC_AUC,Features,Runtime
GA,1.0,1.0,1.0,1.0,1.0,9,49.33111906051636
PSO,0.9912280701754386,0.9863013698630136,1.0,0.993103448275862,1.0,12,46.95568585395813
WOA,0.9912280701754386,0.9863013698630136,1.0,0.993103448275862,0.9970238095238096,13,40.577351331710815
Baseline (SVM),0.9824561403508772,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9950396825396826,30,0.1361024379730224
GWO,0.9824561403508772,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9963624338624338,20,42.50278663635254
Baseline (Random Forest),0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9932208994708996,30,1.014221429824829
