Dataset,Classifier,Algorithm,Seed,ValidationFitness,Accuracy,Precision,Recall,F1,ROC_AUC,Features,SelectionRuntime,TestRuntime,SelectedFeatureNames,MaskFile,ConvergenceFile
breast,svm,WOA,0,0.022035087719298303,0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,0.9930555555555556,14,0.20889175299998897,0.0058024120003210555,"[""area_mean"", ""smoothness_mean"", ""concave points_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""radius_se"", ""perimeter_se"", ""smoothness_se"", ""concave points_se"", ""fractal_dimension_se"", ""perimeter_worst"", ""compactness_worst"", ""concavity_worst"", ""concave points_worst""]",results/smoke/artifacts/breast__svm__woa__seed0__mask.npy,results/smoke/artifacts/breast__svm__woa__seed0__convergence.npy
breast,random_forest,WOA,0,0.031052631578947342,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9983465608465609,15,5.420512243999838,0.2634698379997644,"[""radius_mean"", ""perimeter_mean"", ""smoothness_mean"", ""radius_se"", ""texture_se"", ""compactness_se"", ""concavity_se"", ""symmetry_se"", ""texture_worst"", ""area_worst"", ""smoothness_worst"", ""compactness_worst"", ""concavity_worst"", ""concave points_worst"", ""symmetry_worst""]",results/smoke/artifacts/breast__random_forest__woa__seed0__mask.npy,results/smoke/artifacts/breast__random_forest__woa__seed0__convergence.npy
breast,xgboost,WOA,0,0.022035087719298303,0.9385964912280702,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.9785052910052909,14,2.380585289999999,0.083865553999658,"[""concavity_mean"", ""concave points_mean"", ""fractal_dimension_mean"", ""radius_se"", ""texture_se"", ""perimeter_se"", ""smoothness_se"", ""concavity_se"", ""symmetry_se"", ""fractal_dimension_se"", ""texture_worst"", ""smoothness_worst"", ""concavity_worst"", ""symmetry_worst""]",results/smoke/artifacts/breast__xgboost__woa__seed0__mask.npy,results/smoke/artifacts/breast__xgboost__woa__seed0__convergence.npy
heart,svm,WOA,0,0.14549130434782603,0.7989130434782609,0.8421052631578947,0.7843137254901961,0.8121827411167513,0.8890483022477284,14,0.45523307799976465,0.020781294999778765,"[""trestbps"", ""chol"", ""thalch"", ""ca"", ""sex_Female"", ""sex_Male"", ""cp_asymptomatic"", ""cp_typical angina"", ""fbs_True"", ""restecg_normal"", ""exang_False"", ""slope_flat"", ""thal_normal"", ""thal_reversable defect""]",results/smoke/artifacts/heart__svm__woa__seed0__mask.npy,results/smoke/artifacts/heart__svm__woa__seed0__convergence.npy
heart,random_forest,WOA,0,0.15007173913043476,0.7880434782608695,0.8315789473684211,0.7745098039215687,0.8020304568527918,0.8550932568149211,12,6.602224938999825,0.3164693279995845,"[""age"", ""trestbps"", ""thalch"", ""oldpeak"", ""sex_Male"", ""cp_asymptomatic"", ""cp_non-anginal"", ""fbs_False"", ""exang_True"", ""slope_flat"", ""thal_fixed defect"", ""thal_reversable defect""]",results/smoke/artifacts/heart__random_forest__woa__seed0__mask.npy,results/smoke/artifacts/heart__random_forest__woa__seed0__convergence.npy
heart,xgboost,WOA,0,0.15167173913043477,0.8097826086956522,0.8252427184466019,0.8333333333333334,0.8292682926829268,0.8700382592061215,16,1.9875320080000165,0.08337767500006521,"[""age"", ""trestbps"", ""chol"", ""ca"", ""sex_Female"", ""sex_Male"", ""cp_asymptomatic"", ""cp_atypical angina"", ""cp_typical angina"", ""fbs_False"", ""fbs_True"", ""restecg_st-t abnormality"", ""slope_downsloping"", ""thal_fixed defect"", ""thal_normal"", ""thal_reversable defect""]",results/smoke/artifacts/heart__xgboost__woa__seed0__mask.npy,results/smoke/artifacts/heart__xgboost__woa__seed0__convergence.npy
