Dataset,Classifier,Algorithm,Seed,ValidationFitness,Accuracy,Precision,Recall,F1,ROC_AUC,Features,SelectionRuntime,TestRuntime,SelectedFeatureNames,MaskFile,ConvergenceFile
breast,svm,CSA,0,0.03138596491228068,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9914021164021163,16,0.21105202700027803,0.004630130999885296,"[""texture_mean"", ""perimeter_mean"", ""area_mean"", ""compactness_mean"", ""concave points_mean"", ""fractal_dimension_mean"", ""radius_se"", ""area_se"", ""concavity_se"", ""fractal_dimension_se"", ""texture_worst"", ""perimeter_worst"", ""compactness_worst"", ""concavity_worst"", ""concave points_worst"", ""symmetry_worst""]",results/smoke/artifacts/breast__svm__csa__seed0__mask.npy,results/smoke/artifacts/breast__svm__csa__seed0__convergence.npy
breast,random_forest,CSA,0,0.031052631578947342,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9983465608465609,15,5.467513964999853,0.2652696579998519,"[""radius_mean"", ""perimeter_mean"", ""smoothness_mean"", ""radius_se"", ""texture_se"", ""compactness_se"", ""concavity_se"", ""symmetry_se"", ""texture_worst"", ""area_worst"", ""smoothness_worst"", ""compactness_worst"", ""concavity_worst"", ""concave points_worst"", ""symmetry_worst""]",results/smoke/artifacts/breast__random_forest__csa__seed0__mask.npy,results/smoke/artifacts/breast__random_forest__csa__seed0__convergence.npy
breast,xgboost,CSA,0,0.032052631578947346,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9970238095238095,18,2.3919494470001155,0.09017215800031408,"[""radius_mean"", ""texture_mean"", ""perimeter_mean"", ""compactness_mean"", ""concave points_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""texture_se"", ""smoothness_se"", ""concave points_se"", ""symmetry_se"", ""fractal_dimension_se"", ""radius_worst"", ""texture_worst"", ""perimeter_worst"", ""area_worst"", ""compactness_worst"", ""concave points_worst""]",results/smoke/artifacts/breast__xgboost__csa__seed0__mask.npy,results/smoke/artifacts/breast__xgboost__csa__seed0__convergence.npy
heart,svm,CSA,0,0.14589130434782605,0.782608695652174,0.8229166666666666,0.7745098039215687,0.797979797979798,0.8731468197034912,15,0.4310804219999227,0.020489310000357364,"[""age"", ""chol"", ""oldpeak"", ""sex_Female"", ""cp_asymptomatic"", ""cp_non-anginal"", ""cp_typical angina"", ""fbs_False"", ""restecg_normal"", ""restecg_st-t abnormality"", ""exang_False"", ""slope_downsloping"", ""slope_upsloping"", ""thal_fixed defect"", ""thal_normal""]",results/smoke/artifacts/heart__svm__csa__seed0__mask.npy,results/smoke/artifacts/heart__svm__csa__seed0__convergence.npy
heart,random_forest,CSA,0,0.15545217391304347,0.7989130434782609,0.8571428571428571,0.7647058823529411,0.8082901554404145,0.8556910569105692,12,6.690902562999781,0.32077273400000195,"[""trestbps"", ""chol"", ""oldpeak"", ""sex_Female"", ""cp_asymptomatic"", ""cp_atypical angina"", ""cp_non-anginal"", ""fbs_True"", ""restecg_normal"", ""exang_False"", ""thal_fixed defect"", ""thal_normal""]",results/smoke/artifacts/heart__random_forest__csa__seed0__mask.npy,results/smoke/artifacts/heart__random_forest__csa__seed0__convergence.npy
heart,xgboost,CSA,0,0.14749130434782604,0.7717391304347826,0.8125,0.7647058823529411,0.7878787878787878,0.8825920612147298,19,1.974810737000098,0.0848534980000295,"[""age"", ""trestbps"", ""chol"", ""thalch"", ""oldpeak"", ""sex_Female"", ""sex_Male"", ""cp_asymptomatic"", ""cp_atypical angina"", ""cp_non-anginal"", ""cp_typical angina"", ""fbs_False"", ""fbs_True"", ""restecg_st-t abnormality"", ""exang_True"", ""slope_flat"", ""slope_upsloping"", ""thal_normal"", ""thal_reversable defect""]",results/smoke/artifacts/heart__xgboost__csa__seed0__mask.npy,results/smoke/artifacts/heart__xgboost__csa__seed0__convergence.npy
