Dataset,Classifier,Algorithm,Seed,ValidationFitness,Accuracy,Precision,Recall,F1,ROC_AUC,Features,SelectionRuntime,TestRuntime,SelectedFeatureNames,MaskFile,ConvergenceFile
breast,svm,GA,0,0.022368421052631638,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9947089947089948,15,0.18399337099981494,0.005693302000054246,"[""texture_mean"", ""perimeter_mean"", ""smoothness_mean"", ""compactness_mean"", ""concavity_mean"", ""concave points_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""radius_se"", ""area_se"", ""fractal_dimension_se"", ""texture_worst"", ""perimeter_worst"", ""concavity_worst"", ""fractal_dimension_worst""]",results/smoke/artifacts/breast__svm__ga__seed0__mask.npy,results/smoke/artifacts/breast__svm__ga__seed0__convergence.npy
breast,random_forest,GA,0,0.031052631578947342,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9983465608465609,15,4.014042152999991,0.25380326200001946,"[""radius_mean"", ""perimeter_mean"", ""smoothness_mean"", ""radius_se"", ""texture_se"", ""compactness_se"", ""concavity_se"", ""symmetry_se"", ""texture_worst"", ""area_worst"", ""smoothness_worst"", ""compactness_worst"", ""concavity_worst"", ""concave points_worst"", ""symmetry_worst""]",results/smoke/artifacts/breast__random_forest__ga__seed0__mask.npy,results/smoke/artifacts/breast__random_forest__ga__seed0__convergence.npy
breast,xgboost,GA,0,0.021701754385964972,0.9473684210526315,0.95,0.9047619047619048,0.926829268292683,0.9887566137566137,13,1.8305979909996495,0.08302643599972725,"[""texture_mean"", ""perimeter_mean"", ""smoothness_mean"", ""compactness_mean"", ""concavity_mean"", ""concave points_mean"", ""symmetry_mean"", ""radius_se"", ""area_se"", ""fractal_dimension_se"", ""compactness_worst"", ""concavity_worst"", ""symmetry_worst""]",results/smoke/artifacts/breast__xgboost__ga__seed0__mask.npy,results/smoke/artifacts/breast__xgboost__ga__seed0__convergence.npy
heart,svm,GA,0,0.15585217391304348,0.8097826086956522,0.845360824742268,0.803921568627451,0.8241206030150754,0.8813964610234337,13,0.3210097719997975,0.022116619999906106,"[""trestbps"", ""chol"", ""oldpeak"", ""ca"", ""sex_Female"", ""cp_asymptomatic"", ""cp_atypical angina"", ""cp_non-anginal"", ""fbs_False"", ""fbs_True"", ""slope_flat"", ""slope_upsloping"", ""thal_fixed defect""]",results/smoke/artifacts/heart__svm__ga__seed0__mask.npy,results/smoke/artifacts/heart__svm__ga__seed0__convergence.npy
heart,random_forest,GA,0,0.1616326086956522,0.7880434782608695,0.8247422680412371,0.7843137254901961,0.8040201005025126,0.8691415590626494,14,5.026969474999987,0.31642535600030897,"[""trestbps"", ""chol"", ""thalch"", ""oldpeak"", ""sex_Female"", ""cp_atypical angina"", ""cp_non-anginal"", ""fbs_False"", ""restecg_normal"", ""exang_True"", ""slope_downsloping"", ""slope_flat"", ""slope_upsloping"", ""thal_reversable defect""]",results/smoke/artifacts/heart__random_forest__ga__seed0__mask.npy,results/smoke/artifacts/heart__random_forest__ga__seed0__convergence.npy
heart,xgboost,GA,0,0.15007173913043476,0.7934782608695652,0.8478260869565217,0.7647058823529411,0.8041237113402062,0.8815160210425633,12,1.520739322999816,0.08694050099984452,"[""trestbps"", ""chol"", ""thalch"", ""oldpeak"", ""sex_Female"", ""cp_atypical angina"", ""cp_non-anginal"", ""fbs_False"", ""restecg_lv hypertrophy"", ""exang_True"", ""slope_flat"", ""slope_upsloping""]",results/smoke/artifacts/heart__xgboost__ga__seed0__mask.npy,results/smoke/artifacts/heart__xgboost__ga__seed0__convergence.npy
