Dataset,Classifier,Algorithm,Seed,ValidationFitness,Accuracy,Precision,Recall,F1,ROC_AUC,Features,SelectionRuntime,TestRuntime,SelectedFeatureNames,MaskFile,ConvergenceFile
breast,svm,PSO,0,0.030719298245614007,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9943783068783069,14,0.2060225789996366,0.004826545000014448,"[""radius_mean"", ""texture_mean"", ""perimeter_mean"", ""concavity_mean"", ""fractal_dimension_mean"", ""concavity_se"", ""concave points_se"", ""symmetry_se"", ""radius_worst"", ""texture_worst"", ""area_worst"", ""compactness_worst"", ""symmetry_worst"", ""fractal_dimension_worst""]",results/smoke/artifacts/breast__svm__pso__seed0__mask.npy,results/smoke/artifacts/breast__svm__pso__seed0__convergence.npy
breast,random_forest,PSO,0,0.031052631578947342,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9983465608465609,15,5.344559419999769,0.25399825400018017,"[""radius_mean"", ""perimeter_mean"", ""smoothness_mean"", ""radius_se"", ""texture_se"", ""compactness_se"", ""concavity_se"", ""symmetry_se"", ""texture_worst"", ""area_worst"", ""smoothness_worst"", ""compactness_worst"", ""concavity_worst"", ""concave points_worst"", ""symmetry_worst""]",results/smoke/artifacts/breast__random_forest__pso__seed0__mask.npy,results/smoke/artifacts/breast__random_forest__pso__seed0__convergence.npy
breast,xgboost,PSO,0,0.030719298245614007,0.9385964912280702,0.9069767441860465,0.9285714285714286,0.9176470588235294,0.9923941798941799,14,2.372455127000194,0.08556899099994553,"[""perimeter_mean"", ""area_mean"", ""compactness_mean"", ""concave points_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""radius_se"", ""perimeter_se"", ""area_se"", ""smoothness_se"", ""compactness_se"", ""perimeter_worst"", ""smoothness_worst"", ""concavity_worst""]",results/smoke/artifacts/breast__xgboost__pso__seed0__mask.npy,results/smoke/artifacts/breast__xgboost__pso__seed0__convergence.npy
heart,svm,PSO,0,0.16043260869565223,0.8152173913043478,0.8469387755102041,0.8137254901960784,0.83,0.8677666188426589,11,0.44411209300005794,0.023719872000128817,"[""trestbps"", ""oldpeak"", ""sex_Female"", ""cp_asymptomatic"", ""fbs_True"", ""restecg_lv hypertrophy"", ""restecg_normal"", ""slope_downsloping"", ""slope_flat"", ""slope_upsloping"", ""thal_reversable defect""]",results/smoke/artifacts/heart__svm__pso__seed0__mask.npy,results/smoke/artifacts/heart__svm__pso__seed0__convergence.npy
heart,random_forest,PSO,0,0.16621304347826082,0.7717391304347826,0.8125,0.7647058823529411,0.7878787878787878,0.8381755141080822,12,6.662471720000212,0.32360187399990537,"[""trestbps"", ""chol"", ""thalch"", ""oldpeak"", ""cp_atypical angina"", ""fbs_False"", ""restecg_lv hypertrophy"", ""restecg_st-t abnormality"", ""exang_True"", ""slope_flat"", ""thal_normal"", ""thal_reversable defect""]",results/smoke/artifacts/heart__random_forest__pso__seed0__mask.npy,results/smoke/artifacts/heart__random_forest__pso__seed0__convergence.npy
heart,xgboost,PSO,0,0.15745217391304347,0.7880434782608695,0.8315789473684211,0.7745098039215687,0.8020304568527918,0.8941893830703013,17,1.9448241090003648,0.08834950700020272,"[""age"", ""trestbps"", ""chol"", ""thalch"", ""ca"", ""sex_Male"", ""cp_atypical angina"", ""cp_non-anginal"", ""fbs_False"", ""fbs_True"", ""restecg_st-t abnormality"", ""exang_True"", ""slope_downsloping"", ""slope_flat"", ""slope_upsloping"", ""thal_fixed defect"", ""thal_reversable defect""]",results/smoke/artifacts/heart__xgboost__pso__seed0__mask.npy,results/smoke/artifacts/heart__xgboost__pso__seed0__convergence.npy
