Dataset,Classifier,Algorithm,Seed,ValidationFitness,Accuracy,Precision,Recall,F1,ROC_AUC,Features,SelectionRuntime,TestRuntime,SelectedFeatureNames,MaskFile,ConvergenceFile
breast,svm,Baseline,42,,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9953703703703703,30,0.0,0.0057115770000564225,"[""radius_mean"", ""texture_mean"", ""perimeter_mean"", ""area_mean"", ""smoothness_mean"", ""compactness_mean"", ""concavity_mean"", ""concave points_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""radius_se"", ""texture_se"", ""perimeter_se"", ""area_se"", ""smoothness_se"", ""compactness_se"", ""concavity_se"", ""concave points_se"", ""symmetry_se"", ""fractal_dimension_se"", ""radius_worst"", ""texture_worst"", ""perimeter_worst"", ""area_worst"", ""smoothness_worst"", ""compactness_worst"", ""concavity_worst"", ""concave points_worst"", ""symmetry_worst"", ""fractal_dimension_worst""]",,
breast,random_forest,Baseline,42,,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9948743386243386,30,0.0,0.2693380040000193,"[""radius_mean"", ""texture_mean"", ""perimeter_mean"", ""area_mean"", ""smoothness_mean"", ""compactness_mean"", ""concavity_mean"", ""concave points_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""radius_se"", ""texture_se"", ""perimeter_se"", ""area_se"", ""smoothness_se"", ""compactness_se"", ""concavity_se"", ""concave points_se"", ""symmetry_se"", ""fractal_dimension_se"", ""radius_worst"", ""texture_worst"", ""perimeter_worst"", ""area_worst"", ""smoothness_worst"", ""compactness_worst"", ""concavity_worst"", ""concave points_worst"", ""symmetry_worst"", ""fractal_dimension_worst""]",,
breast,xgboost,Baseline,42,,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9976851851851851,30,0.0,0.10007992900000318,"[""radius_mean"", ""texture_mean"", ""perimeter_mean"", ""area_mean"", ""smoothness_mean"", ""compactness_mean"", ""concavity_mean"", ""concave points_mean"", ""symmetry_mean"", ""fractal_dimension_mean"", ""radius_se"", ""texture_se"", ""perimeter_se"", ""area_se"", ""smoothness_se"", ""compactness_se"", ""concavity_se"", ""concave points_se"", ""symmetry_se"", ""fractal_dimension_se"", ""radius_worst"", ""texture_worst"", ""perimeter_worst"", ""area_worst"", ""smoothness_worst"", ""compactness_worst"", ""concavity_worst"", ""concave points_worst"", ""symmetry_worst"", ""fractal_dimension_worst""]",,
heart,svm,Baseline,42,,0.7934782608695652,0.82,0.803921568627451,0.8118811881188119,0.8858201817312291,25,0.0,0.025716057999943587,"[""age"", ""trestbps"", ""chol"", ""thalch"", ""oldpeak"", ""ca"", ""sex_Female"", ""sex_Male"", ""cp_asymptomatic"", ""cp_atypical angina"", ""cp_non-anginal"", ""cp_typical angina"", ""fbs_False"", ""fbs_True"", ""restecg_lv hypertrophy"", ""restecg_normal"", ""restecg_st-t abnormality"", ""exang_False"", ""exang_True"", ""slope_downsloping"", ""slope_flat"", ""slope_upsloping"", ""thal_fixed defect"", ""thal_normal"", ""thal_reversable defect""]",,
heart,random_forest,Baseline,42,,0.8152173913043478,0.8617021276595744,0.7941176470588235,0.826530612244898,0.8821736011477762,25,0.0,0.31391677900001014,"[""age"", ""trestbps"", ""chol"", ""thalch"", ""oldpeak"", ""ca"", ""sex_Female"", ""sex_Male"", ""cp_asymptomatic"", ""cp_atypical angina"", ""cp_non-anginal"", ""cp_typical angina"", ""fbs_False"", ""fbs_True"", ""restecg_lv hypertrophy"", ""restecg_normal"", ""restecg_st-t abnormality"", ""exang_False"", ""exang_True"", ""slope_downsloping"", ""slope_flat"", ""slope_upsloping"", ""thal_fixed defect"", ""thal_normal"", ""thal_reversable defect""]",,
heart,xgboost,Baseline,42,,0.7880434782608695,0.8247422680412371,0.7843137254901961,0.8040201005025126,0.8908417025346724,25,0.0,0.11801075699986541,"[""age"", ""trestbps"", ""chol"", ""thalch"", ""oldpeak"", ""ca"", ""sex_Female"", ""sex_Male"", ""cp_asymptomatic"", ""cp_atypical angina"", ""cp_non-anginal"", ""cp_typical angina"", ""fbs_False"", ""fbs_True"", ""restecg_lv hypertrophy"", ""restecg_normal"", ""restecg_st-t abnormality"", ""exang_False"", ""exang_True"", ""slope_downsloping"", ""slope_flat"", ""slope_upsloping"", ""thal_fixed defect"", ""thal_normal"", ""thal_reversable defect""]",,
